,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
0,AALM12,AURA ALMAS MINERACAO S.A. (*),02/10/2030,"DI + 1,6%","1,156","0,85","1,0004","0,0035","0,9968","1,004","1089,801999","101,5734","666,17",,
1,AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%","9,8332","5,2069","7,5735","1,1781","6,3953","8,7517","835,521944","95,4699","251,83",,
2,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),15/10/2026,"DI + 1,95%","1,64","1,24","1,44",0,"1,44","1,44","1073,983487","100,4835","242,44",,
3,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%","3,0994","2,9181","3,0017","0,0053","2,9963","3,0071","1038,132106","103,5217","1010,28",,
4,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),15/06/2035,"DI + 3,4%","3,45","3,25","3,3504","0,0017","3,3487","3,3522","1048,341886","100,2105","1104,76",5.0,
5,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%","1,5","1,1","1,3222",0,"1,3222","1,3222","719,042912","100,7617","235,29",35.0,
6,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%","1,4225","1,2072","1,3176","0,0111","1,3065","1,3289","1083,39879","100,9607","420,99",10.0,
7,AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,"2,2997","1,9262","2,1029","0,0237","2,0792","2,1266","1005,622441","100,4279",123,,
8,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%","2,109","1,568","1,8687","0,0625","1,8062","1,9313","1096,729483","102,7125","434,1",10.0,
9,AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%","2,1425","1,5853","1,8356","0,1104","1,7252","1,9461","1009,847445","100,8518","239,12",35.0,
10,AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%","1,9444","1,55","1,75",0,"1,75","1,75","1066,580304","102,5242","643,83",,
11,AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%","1,9832","1,6794","1,8371","0,0385","1,7986","1,8757","1024,681309","102,3316","535,19",,
12,AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"143,628087","18,1563",N/D,,
13,AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"212,960505","18,1612",N/D,,
14,AESLA8,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),10/09/2029,"DI + 0,49%",--,--,"0,5426","0,0993","0,4433","0,642","1001,383332","99,8531",708,,
15,AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%","7,0686","3,6291","5,2429","0,6755","4,5673","5,9185","994,957692","99,3514","231,26",,
16,ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%","0,8685","0,622","0,7416","0,0194","0,7222","0,761","5071,247971","100,0655",105,,
17,ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%","1,2","0,9696","1,0809","0,0112","1,0698","1,0922","1039,687886","101,0818","586,09",,
18,ALGTA5,ALGAR TELECOM S/A (*),28/01/2032,"DI + 1,3%","1,35","1,1015","1,23","0,0249","1,2051","1,255","1025,406734","100,2804","1021,14",,
19,ALPA22,ALPARGATAS S.A. (*) (**),12/12/2029,"DI + 1,5%","1,0958","0,6878","0,9095","0,1299","0,7797","1,0395","1059,907814","101,687","723,7",,
