,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
0,AALM12,AURA ALMAS MINERACAO S.A. (*),02/10/2030,"DI + 1,6%","1,1014","0,8014","0,9555","0,0133","0,9422","0,9689","1092,976185","101,6818","662,05",,
1,AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%","9,2988","4,7843","7,2598","0,9792","6,2807","8,2391","840,067349","95,7998","249,09",,
2,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),15/10/2026,"DI + 1,95%","1,64","1,24","1,44",0,"1,44","1,44","1075,943385","100,4775","239,41",,
3,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%","3,1183","2,9167","3,0044","0,0067","2,9976","3,0112","1039,97541","103,487","1003,54",,
4,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),15/06/2035,"DI + 3,4%","3,45","3,2104","3,323",0,"3,323","3,323","1051,692446","100,3247","1097,43",50.0,
5,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%","1,5","1,1","1,3",0,"1,3","1,3","720,48956","100,7721","232,25",,
6,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%","1,4159","1,173","1,2937","0,0136","1,28","1,3074","1085,77531","100,9924","417,64",40.0,
7,AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,"2,3","1,9265","2,1032","0,042","2,0612","2,1453","1007,534766","100,4173",120,5.0,
8,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%","2,0035","1,5929","1,7915","0,1093","1,6821","1,9009","1100,183201","102,824","430,85",,
9,AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%","2,0995","1,6394","1,8942","0,1136","1,7806","2,008","1011,191921","100,7866","236,1",,
10,AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%","1,9419","1,5523","1,7507","0,006","1,7448","1,7568","1068,504547","102,5064","639,8",,
11,AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%","1,956","1,6904","1,8242","0,0321","1,7921","1,8565","1026,848732","102,3432","531,64",,
12,AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"139,980219","17,6617",N/D,,
13,AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"212,128329","18,0561",N/D,,
14,AESLA8,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),10/09/2029,"DI + 0,49%","0,6022","0,2778","0,4615","0,0979","0,3636","0,5595","1005,370937","100,0792","703,78",,
15,AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%","6,5662","3,9173","5,1657","0,7519","4,4138","5,9177","997,875029","99,426","228,25",,
16,ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%","0,8657","0,5706","0,7243","0,041","0,6833","0,7654","5080,440038","100,0706",102,,
17,ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%","1,1948","0,9664","1,083","0,0126","1,0704","1,0957","1041,476721","101,0699","582,3",,
18,ALGTA5,ALGAR TELECOM S/A (*),28/01/2032,"DI + 1,3%","1,35","1,0947","1,2231","0,019","1,2041","1,2422","1027,524841","100,3061","1014,59",,
19,ALPA22,ALPARGATAS S.A. (*) (**),12/12/2029,"DI + 1,5%","1,0788","0,6354","0,8823","0,1382","0,7441","1,0206","1062,557327","101,7547","719,34",,
20,ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),15/01/2027,"DI + 2,3%",--,--,--,--,--,--,N/D,N/D,N/D,,
21,AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),25/04/2029,"DI + 2,75%","25,336","11,2058","17,884","0,6921","17,192","18,5762","819,230062","76,5337","471,14",35.0,
22,ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),14/06/2028,"DI + 2,14%",--,"1,3858","1,5965","0,0064","1,5901","1,603","1055,585037","101,0347","486,6",,
23,ANHBA5,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),05/11/2030,"DI + 0,44%","0,6","0,45","0,5245","0,003","0,5215","0,5276","1054,560711","99,7176","847,1",5.0,
24,ANHBA6,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),15/07/2032,"DI + 0,5%","0,7245","0,5065","0,5897","0,0154","0,5742","0,6052","1019,176949","99,6165","1084,85",50.0,
25,APPSB2,AUTOPISTA PLANALTO SUL S/A (*),15/09/2028,"DI + 2,15%","1,45","1,15","1,2867","0,0118","1,2749","1,2986","762,190413","101,303","385,12",35.0,
26,APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),15/06/2027,"DI + 0,86%","0,7","0,4428","0,5806","0,0199","0,5607","0,6006","529,094916","100,2855","259,12",,
27,ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),04/11/2029,"DI + 2,25%","1,8839","1,5629","1,7644","0,0579","1,7065","1,8223","1078,805818","101,2969","683,13",,
28,ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),15/03/2032,"DI + 1,9%",2,"1,7732","1,8888","0,0485","1,8403","1,9375","1003,560209","100,0425","973,63",35.0,
29,ARML15,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/09/2032,"DI + 1,35%","1,9793","1,6446","1,8274","0,0969","1,7305","1,9244","1058,010425","98,202","969,86",,
30,ARML25,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/09/2034,"DI + 1,6%","2,2","1,85","2,0252","0,0048","2,0204","2,0301","1058,414357","98,1195","1140,77",,
31,ARTRA1,ARTERIS S/A (*) (**),11/03/2027,"DI + 1,65%","1,2954","1,05","1,1633","0,0231","1,1403","1,1865","672,468195","100,4361","228,61",,
32,ARTRA4,ARTERIS S/A (*),24/08/2028,"DI + 2,7%","1,7073","1,45","1,5827","0,013","1,5697","1,5958","1031,803937","101,8337","419,57",,
33,ARTRA5,ARTERIS S/A (*),12/04/2029,"DI + 2,4%","1,7633","1,4932","1,6276","0,0147","1,6129","1,6424","1089,980822","101,53","506,42",,
34,ASAI18,SENDAS DISTRIBUIDORA S/A (*),22/12/2027,"DI + 1,85%","1,5237","1,3597","1,5084","0,0291","1,4793","1,5376","1048,048306","100,6397","478,44",,
35,ASAI19,SENDAS DISTRIBUIDORA S/A (*),25/03/2029,"DI + 1,25%","1,163","0,9602","1,0722","0,0128","1,0594","1,0851","1081,281265","100,4111","588,53",5.0,
36,ASAI22,SENDAS DISTRIBUIDORA S/A (*),20/05/2028,"DI + 1,95%","1,35","1,2129","1,2916","0,015","1,2767","1,3067","1068,941455","101,1681","452,16",35.0,
37,ASAI28,SENDAS DISTRIBUIDORA S/A (*),22/12/2028,"DI + 1,95%","1,4322","1,1912","1,3261","0,0048","1,3213","1,331","1058,198924","101,5887","647,88",,
38,ASAIA0,SENDAS DISTRIBUIDORA S/A (*),20/06/2029,"DI + 1,25%","1,1428","0,9869","1,0818","0,0163","1,0655","1,0983","1044,88199","100,4283","648,05",,
39,ASAIA1,SENDAS DISTRIBUIDORA S/A (*),25/09/2029,"DI + 1,25%","1,2278","0,98","1,1159","0,0056","1,1102","1,1216","1080,633402","100,351","666,45",5.0,
40,ASAIA2,SENDAS DISTRIBUIDORA S/A (*),09/12/2029,"DI + 1,25%","1,2913","1,0605","1,1893","0,0657","1,1236","1,2551","1047,335362","100,1887","792,17",50.0,
41,ASAIA3,SENDAS DISTRIBUIDORA S/A (*),05/06/2029,"DI + 1,2%","1,3","1,0568","1,1886","0,0054","1,1832","1,1941","1043,08384","100,0322","719,38",,
42,AURE13,AUREN ENERGIA S.A. (*),10/10/2031,"DI + 0,55%","0,75","0,4765","0,584","0,0511","0,5329","0,6353","1064,860294","99,8805","891,04",50.0,
43,BCBF15,BCBF PARTICIPAÇÕES S/A (*) (**),04/11/2025,"DI + 2,65%",--,--,--,--,--,--,N/D,N/D,N/D,,
44,BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),07/10/2027,"DI + 1,45%","0,6613","0,4791","0,5596","0,0652","0,4944","0,6249","1080,767082","100,792","226,2",,
45,BCPSA3,CLARO S/A,27/01/2026,"DI + 1,35%",--,--,--,--,--,--,N/D,N/D,N/D,,
46,BCPSA4,CLARO S/A,20/02/2027,"DI + 1,2%","0,6511","0,344","0,5118","0,0178","0,494","0,5297","1022,875971","100,8892",327,,
47,BCPSA6,CLARO S/A,10/10/2028,"DI + 0,55%",--,--,--,--,--,--,N/D,N/D,N/D,,
48,BHIAA0,GRUPO CASAS BAHIA S.A. (*) (**),28/11/2029,"DI + 1,5%",--,--,--,--,--,--,"0,386506","32,125",N/D,,
49,BHIAC0,GRUPO CASAS BAHIA S.A. (*) (**),28/11/2030,DI + 1%,--,--,--,--,--,--,"0,383841","32,125",N/D,,
50,BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),24/04/2027,"DI + 1,9%","1,8486","1,5035","1,6769","0,0163","1,6606","1,6933","1069,628192","100,2093","240,41",35.0,
51,BRIT11,BRISANET PARTICIPACOES S.A.,25/08/2027,DI + 2%,"0,8962","0,65","0,7815","0,0259","0,7556","0,8075","685,703679","101,5682","326,69",,
52,BRIT12,BRISANET PARTICIPACOES S.A. (*),10/07/2030,"DI + 1,6%","1,2805",1,"1,1413","0,0155","1,1258","1,1569","1046,105623","101,3225","732,74",5.0,
53,BRKMA6,BRASKEM S/A (*),12/05/2029,"DI + 1,75%","14,2968","10,8694","11,9269","0,8833","11,0436","12,8103","821,044565","77,4749","654,97",40.0,
54,BRKMA8,BRASKEM S/A (*),09/11/2029,"DI + 1,7%","14,6756","12,9485","13,7869","0,558","13,2289","14,345","764,403749","72,0995","702,21",15.0,
55,BRKMB6,BRASKEM S/A (*),12/05/2032,DI + 2%,"13,9191","11,5854","12,6109","0,9764","11,6345","13,5874","750,400489","70,7441","825,28",,
56,BRKMB8,BRASKEM S/A (*),09/11/2032,"DI + 1,95%","14,4455","11,9456","13,7584","0,6736","13,0849","14,4321","711,774174","67,0733","845,03",35.0,
57,BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),15/04/2027,"DI + 2,4%","1,5931","1,4457","1,5072","0,0283","1,4789","1,5357","1085,486948","101,174","336,11",,
58,BRKPA1,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),06/03/2028,"DI + 3,4%","2,2573","2,0204","2,1548","0,0165","2,1384","2,1714","1032,571591","102,5535","525,08",5.0,
59,BRKPA2,BRK AMBIENTAL PARTICIPACOES S/A (*),21/02/2029,"DI + 3,25%","2,1667","1,9327","2,0555","0,0251","2,0304","2,0807","1047,294384","103,1787","679,26",10.0,
60,BRKPA3,BRK AMBIENTAL PARTICIPACOES S/A (*),23/08/2029,"DI + 2,93%","2,1397","1,9757","2,0537","0,007","2,0468","2,0608","1039,755514","102,6003","758,26",,
61,BRMLA1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2031,"DI + 0,63%","0,7191","0,3526","0,552","0,0057","0,5463","0,5577","1016,417082","100,3039","986,31",,
62,BRMLB1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2034,"DI + 0,95%","0,7714","0,6142","0,6741","0,0322","0,6419","0,7063","1027,405811","101,3589","1245,54",50.0,
63,BRST14,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/05/2031,"DI + 1,4%","1,6","1,25","1,4317","0,0095","1,4222","1,4414","1045,979324","99,896","839,06",,
