,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B,Indexador
2964,CSNAB5,COMPANHIA SIDERÚRGICA NACIONAL (*),15/04/2039,"IPCA + 6,9924%",--,"8,4122","8,6444","0,0329","8,6115","8,6774","967,050631","88,2444","2016,68",,15/05/2035,IPCA+
2965,CSNAB6,COMPANHIA SIDERÚRGICA NACIONAL (*),15/11/2039,"IPCA + 7,6952%",--,--,"8,567","0,0811","8,4858","8,6482","999,451127","93,5999","2044,28",,15/05/2035,IPCA+
2966,CSNAC4,COMPANHIA SIDERÚRGICA NACIONAL (*),15/07/2038,IPCA + 7%,--,"8,3887","8,5698","0,0142","8,5556","8,5841","992,523483","89,0054","1983,35",,15/05/2035,IPCA+
2967,CSNP12,COMPANHIA ENERGÉTICA SINOP S.A. (*) (**),15/06/2032,"IPCA + 7,9461%","8,1354","7,8155","7,9717","0,1298","7,8419","8,1016","1244,339362","99,9236","811,95",,15/05/2029,IPCA+
2968,CSRN19,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN,15/04/2026,"IPCA + 4,2542%",--,--,"9,089","0,4095","8,6794","9,4986","1397,817451","97,5236","139,36",,15/08/2026,IPCA+
2969,CSRN29,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN,15/04/2029,"IPCA + 4,4986%","7,7546","7,2608","7,5083","0,4542","7,0541","7,9627","1341,526211","93,5015","593,31",,15/08/2028,IPCA+
2970,CSRNA1,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*) (**),15/06/2028,"IPCA + 6,4482%",--,--,"7,3665","0,0425","7,3241","7,4091","1095,623093","97,878","628,84",,15/08/2028,IPCA+
2971,CSRNB2,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*),15/03/2034,"IPCA + 6,0691%","7,3515","6,9121","7,0239","0,1167","6,9072","7,1407","1011,919794","94,7075","1523,1",,15/05/2033,IPCA+
2972,CSRNC0,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*),15/07/2029,"IPCA + 6,623%","7,3997","7,0134","7,1518","0,0846","7,0672","7,2365","1134,357001","98,5396","748,89",35.0,15/05/2029,IPCA+
2973,CTEE18,ISA ENERGIA BRASIL S.A.,15/12/2029,"IPCA + 3,5%","7,2541","6,8932","7,0681","0,0791","6,989","7,1473","1267,468151","90,2904","755,4",,15/05/2029,IPCA+
2974,CTEE1B,ISA ENERGIA BRASIL S.A. (*),15/10/2031,"IPCA + 5,771%","7,1425","6,836","7,0293","0,1455","6,8839","7,1749","1183,961619","94,21","1266,08",,15/08/2032,IPCA+
2975,CTEE29,ISA ENERGIA BRASIL S.A.,15/05/2044,"IPCA + 5,3%","7,0072","6,6897","6,8549","0,1022","6,7527","6,9572","1041,499304","90,0075","1760,66",,15/05/2035,IPCA+
2976,CTEE2B,ISA ENERGIA BRASIL S.A. (*),15/10/2039,"IPCA + 5,864%",--,--,"6,6883","0,0636","6,6247","6,7521","1172,537477","93,2655","2244,08",,15/08/2040,IPCA+
2977,CTGE11,COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROSUL  (*),15/11/2028,"IPCA + 3,75%","7,4987","7,0861","7,2255","0,0822","7,1434","7,3078",N/D,N/D,N/D,,15/08/2028,IPCA+
2978,CTGE13,COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROSUL (*) (**),15/09/2029,"IPCA + 5,3455%","7,1815","6,8056","6,965","0,013","6,952","6,9781","1306,275185","94,6318","909,94",10.0,15/05/2029,IPCA+
2979,CTGE15,COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROSUL (*),15/04/2031,"IPCA + 6,3423%","7,0455","6,7261","6,8899","0,1054","6,7845","6,9954","1068,31797","97,6542","1162,87",,15/08/2030,IPCA+
2980,CTNSA3,ENERGISA TOCANTINS - DISTRIBUIDORA DE ENERGIA S.A (*),15/05/2035,"IPCA + 7,3%","7,2631","6,9641","7,1526","0,0697","7,083","7,2224","1036,259071","100,8862","1618,98",,15/05/2033,IPCA+
2981,CTRR11,CANTAREIRA TRANSMISSORA DE ENERGIA S/A,15/08/2032,"IPCA + 6,9094%","7,9581","7,46","7,7309","0,1736","7,5573","7,9046","763,46336","97,6298",786,,15/05/2029,IPCA+
2982,CUTI11,CUTIA EMPREENDIMENTOS EÓLICOS S.A.,15/12/2031,"IPCA + 5,8813%","7,8401","7,4488","7,685","0,1694","7,5156","7,8545","893,540493","95,1001","742,07",,15/08/2028,IPCA+
2983,CXER12,COMPLEXO MORRINHOS ENERGIAS RENOVAVEIS S.A.,15/12/2027,"IPCA + 7,0602%","9,5042","9,2316","9,4722","0,3382","9,1341","9,8105","667,531843","97,4009","296,52",,15/08/2026,IPCA+
2984,DESK17,DESKTOP S/A (*),15/06/2031,"IPCA + 7,4408%","8,2873","7,9741","8,1223","0,0637","8,0586","8,1861","1050,304495","97,5293","995,25",15.0,15/08/2030,IPCA+
2985,DESK18,DESKTOP S/A (*),15/06/2032,"IPCA + 7,9356%","8,4652","7,9969","8,416","0,2011","8,2149","8,6172","1000,372288","97,8388","1237,59",45.0,15/08/2030,IPCA+
2986,EBAS13,EMPRESA BAIANA DE AGUAS E SANEAMENTO SA (*),15/11/2035,"IPCA + 8,6%","8,4796","8,0057","8,2736","0,1927","8,0809","8,4664","1138,043916","101,2948","1079,9",5.0,15/08/2030,IPCA+
2987,EBENA8,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*),15/12/2036,"IPCA + 7,2843%","7,5398","7,156","7,3264","0,1968","7,1296","7,5232","1052,940604","99,7162","1824,91",,15/05/2035,IPCA+
2988,ECER12,CONCESSIONARIA ECOVIAS DO CERRADO S.A. (*),15/09/2027,"IPCA + 6,35%","8,2616","7,8881","8,1028","0,1385","7,9643","8,2414","1204,263943","96,8274",497,,15/05/2027,IPCA+
2989,ECHP11,ECHOENERGIA PARTICIPACOES S/A (*),15/06/2030,"IPCA + 6,9%","7,9259","7,6776","7,8485","0,2501","7,5985","8,0987","1117,179204","97,8452","619,27",,15/08/2028,IPCA+
2990,ECHP12,ECHOENERGIA PARTICIPACOES S/A (*),15/12/2030,"IPCA + 4,75%","7,9783","7,5857","7,7719","0,1498","7,6221","7,9218","1039,544116","93,9051","549,19",,15/08/2028,IPCA+
2991,ECHP22,ECHOENERGIA PARTICIPACOES S/A (*),15/01/2031,"IPCA + 4,75%","7,9216","7,5369","7,7608","0,1609","7,6","7,9218","1039,67718","93,9171","550,03",,15/08/2028,IPCA+
2992,ECOV16,CONCESSIONÁRIA ECOVIAS DOS IMIGRANTES S/A (*),15/02/2033,"IPCA + 6,095%","7,5349","7,3204","7,4071","0,099","7,3082","7,5062","1014,417039","94,0711","1246,84",15.0,15/08/2032,IPCA+
2993,ECPN11,CONCESSIONARIA PONTE RIO-NITEROI S.A. - ECOPONTE,15/10/2034,"IPCA + 4,4%",--,--,"9,2378","0,043","9,1948","9,2808","1076,030932","80,0152","1192,24",,15/08/2030,IPCA+
2994,ECRD14,ECORIOMINAS CONCESSIONARIA DE RODOVIAS S.A.,15/09/2047,"IPCA + 8,3939%","7,4504","7,2157","7,3182","0,0647","7,2536","7,383","1130,658579","109,7686","2401,22",50.0,15/08/2040,IPCA+
2995,EDFT11,EDF OITI TRANSMISSORA S.A. (*),15/05/2049,"IPCA + 6,8209%","7,7538","7,5424","7,6565","0,023","7,6335","7,6796","1095,723571","94,1183","1926,42",,15/05/2035,IPCA+
2996,EDPA11,EDP TRANSMISSAO ALIANCA SC S.A.,15/10/2044,"IPCA + 8,3431%","7,4882","7,0957","7,2893","0,0869","7,2024","7,3763","1444,11081","106,6894","1701,67",,15/05/2035,IPCA+
2997,EDPT11,EDP TRANSMISSÃO S.A. (*) (**),15/05/2033,"IPCA + 7,0267%","7,7018","7,3404","7,5121","0,1187","7,3933","7,6309","921,949362","98,4167","885,48",,15/05/2029,IPCA+
2998,EDTE12,EDTE - EMPRESA DIAMANTINA DE TRANSMISSAO DE ENERGIA S.A. (*) (**),15/12/2028,"IPCA + 5,2939%","7,8041","7,4487","7,6457","0,1455","7,5002","7,7913","1123,680494","95,3693",538,,15/08/2028,IPCA+
2999,EDVP17,ENERGISA SUL-SUDESTE - DISTRIBUICAO DE ENERGIA S.A,15/01/2032,"IPCA + 6,0996%","7,4225","7,0665","7,2425","0,0453","7,1972","7,2879","1148,708008","95,2707","1136,03",,15/08/2030,IPCA+
3000,EEELA0,CPFL TRANSMISSAO S.A (*),15/10/2033,"IPCA + 6,1774%","7,1112","6,8193","6,9413","0,0673","6,8741","7,0087","1076,367422","96,0368","1416,66",,15/08/2032,IPCA+
3001,EEELA1,CPFL TRANSMISSAO S.A (*),15/04/2034,"IPCA + 6,0994%","7,1626","6,8016","6,9505","0,0803","6,8703","7,0309","1039,246212","95,3422","1498,11",,15/05/2033,IPCA+
3002,EEELA4,CPFL TRANSMISSAO S.A (*),15/02/2035,"IPCA + 7,7082%","7,1899","6,8107","7,003","0,0413","6,9618","7,0444","1073,971931","104,2337","1597,1",,15/05/2033,IPCA+
3003,EEELB1,CPFL TRANSMISSAO S.A (*),15/04/2039,"IPCA + 6,1572%","6,949","6,5748","6,7625","0,0816","6,6809","6,8442","1038,023145","95,2076","2162,34",,15/08/2040,IPCA+
3004,EGIE19,ENGIE BRASIL ENERGIA S.A.,15/07/2026,"IPCA + 3,7%","9,0098","8,5305","8,7018","0,0764","8,6254","8,7783","680,509678","96,2584",204,,15/08/2026,IPCA+
3005,EGIE27,ENGIE BRASIL ENERGIA S.A.,15/07/2028,"IPCA + 5,9033%","8,0918","7,6895","7,8547","0,1014","7,7533","7,9562","1424,926612","97,0722","408,89",,15/05/2027,IPCA+
3006,EGIE29,ENGIE BRASIL ENERGIA S.A.,15/07/2029,"IPCA + 3,9%","7,5425","7,1728","7,3471","0,072","7,2752","7,4192","1296,729868","91,6779","667,7",,15/08/2028,IPCA+
3007,EGIE39,ENGIE BRASIL ENERGIA S.A.,15/07/2026,"IPCA + 3,6%","9,0112","8,5283","8,7018","0,0764","8,6254","8,7783","680,143028","96,2242","201,74",,15/08/2026,IPCA+
3008,EGIE49,ENGIE BRASIL ENERGIA S.A.,15/07/2029,"IPCA + 3,7%","7,5949","7,1748","7,3362","0,0757","7,2605","7,4119","1290,921287","91,3007","661,92",,15/08/2028,IPCA+
3009,EGIEA0,ENGIE BRASIL ENERGIA S.A. (*),15/09/2046,"IPCA + 5,7158%",--,--,"6,8388","0,0443","6,7945","6,8832","1019,755969","90,1822","2412,91",,15/08/2040,IPCA+
3010,EGIEA1,ENGIE BRASIL ENERGIA S.A. (*),15/11/2033,"IPCA + 5,9325%","7,3013","6,9458","7,1119","0,033","7,0789","7,145","1073,33562","93,9033","1423,78",,15/08/2032,IPCA+
3011,EGIEB1,ENGIE BRASIL ENERGIA S.A. (*),15/11/2038,"IPCA + 6,0691%","7,1692","6,8397","6,9743","0,047","6,9273","7,0213","1065,562333","93,1232","2092,38",,15/05/2035,IPCA+
3012,EGIEB2,ENGIE BRASIL ENERGIA S.A. (*),15/06/2034,"IPCA + 6,7766%","7,1361","6,8348","6,9774","0,091","6,8864","7,0685","1063,722582","98,8577","1539,51",,15/05/2033,IPCA+
3013,EGIEB4,ENGIE BRASIL ENERGIA S.A. (*),15/01/2032,"IPCA + 7,5568%","7,1637","6,8782","7,0145","0,124","6,8905","7,1387","1083,48151","102,4409","1204,07",35.0,15/08/2030,IPCA+
3014,EGIEB5,ENGIE BRASIL ENERGIA S.A. (*),15/06/2035,"IPCA + 6,8555%","7,1465","6,7705","6,9384","0,0552","6,8832","6,9937","1010,185066","99,4535","1779,88",5.0,15/05/2035,IPCA+
3015,EGVG11,ENEL GREEN POWER VOLTA GRANDE S.A.,15/10/2029,"IPCA + 3,7%","8,2701","7,9747","8,1771","0,231","7,9461","8,4082","657,112729","92,3054","467,13",,15/05/2027,IPCA+
3016,EGVG21,ENEL GREEN POWER VOLTA GRANDE S.A.,15/10/2029,"IPCA + 3,7%","8,2701","7,9747","8,1771","0,231","7,9461","8,4082","669,44609","92,3716","462,74",,15/05/2027,IPCA+
3017,EKTRB3,ELEKTRO REDES S.A. (*),15/04/2034,"IPCA + 6,2587%","7,375","7,065","7,2051","0,1266","7,0786","7,3318","1035,870697","94,8745","1488,21",,15/05/2033,IPCA+
3018,EKTRC0,ELEKTRO REDES S.A. (*),15/10/2031,"IPCA + 5,7697%","7,2697","6,989","7,0631","0,1283","6,9348","7,1914","1191,830724","94,8955","1082,47",,15/08/2030,IPCA+
3019,EKTRC1,ELEKTRO REDES S.A. (*) (**),15/07/2029,"IPCA + 6,623%","7,4151","7,0551","7,2175","0,0353","7,1822","7,2529","1132,292693","98,3603","748,77",,15/05/2029,IPCA+
3020,EKTT11,EKTT 9 SERV DE TRANS DE E E SPE S.A. (*),15/05/2038,"IPCA + 6,4217%","7,2736","6,8986","7,0467","0,1185","6,9282","7,1653","1110,817658","96,4214","1559,22",5.0,15/05/2033,IPCA+
3021,ELET14,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*),15/09/2031,"IPCA + 6,317%","7,1617","6,8106","6,9415","0,0622","6,8793","7,0037","1070,205948","97,5073","1084,58",45.0,15/08/2030,IPCA+
3022,ELET16,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*),15/09/2034,"IPCA + 6,877%","6,8841","6,631","6,7209","0,0703","6,6507","6,7913","1059,005475","101,0063","1727,88",,15/05/2035,IPCA+
