,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
34,ASAI18,SENDAS DISTRIBUIDORA S/A (*),22/12/2027,"DI + 1,85%",--,--,"1,4958","0,0828","1,4131","1,5787","1047,658704","100,665","479,64",,
35,ASAI19,SENDAS DISTRIBUIDORA S/A (*),25/03/2029,"DI + 1,25%","1,1519","0,9712","1,0658","0,0122","1,0536","1,0781","1080,802935","100,427","589,94",10.0,
36,ASAI22,SENDAS DISTRIBUIDORA S/A (*),20/05/2028,"DI + 1,95%","1,35","1,2164","1,2988","0,0124","1,2864","1,3112","1068,166077","101,1582","453,32",,
37,ASAI28,SENDAS DISTRIBUIDORA S/A (*),22/12/2028,"DI + 1,95%","1,45","1,2","1,3246","0,0034","1,3212","1,328","1057,613104","101,5962","649,36",,
38,ASAIA0,SENDAS DISTRIBUIDORA S/A (*),20/06/2029,"DI + 1,25%","1,1476","0,991","1,0793","0,0143","1,065","1,0937","1044,331557","100,4357","649,54",,
39,ASAIA1,SENDAS DISTRIBUIDORA S/A (*),25/09/2029,"DI + 1,25%","1,2512","0,9833","1,1134","0,0145","1,099","1,128","1080,064414","100,3584","668,02",10.0,
40,ASAIA2,SENDAS DISTRIBUIDORA S/A (*),09/12/2029,"DI + 1,25%","1,31","1,0622","1,1946","0,0179","1,1767","1,2126","1046,538792","100,1726","794,09",50.0,
41,ASAIA3,SENDAS DISTRIBUIDORA S/A (*),05/06/2029,"DI + 1,2%","1,3008","1,055","1,1877","0,0034","1,1843","1,1912","1042,487068","100,0348","721,07",5.0,
42,AURE13,AUREN ENERGIA S.A. (*),10/10/2031,"DI + 0,55%","0,7","0,493","0,5936","0,0411","0,5525","0,6347","1063,886899","99,8464","893,38",45.0,
43,BCBF15,BCBF PARTICIPAÇÕES S/A (*) (**),04/11/2025,"DI + 2,65%",--,--,--,--,--,--,N/D,N/D,N/D,,
44,BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),07/10/2027,"DI + 1,45%","0,65","0,5298","0,5895","0,0012","0,5883","0,5908","1079,85978","100,7687","227,2",,
45,BCPSA3,CLARO S/A,27/01/2026,"DI + 1,35%","0,5","0,2","0,3717","0,0366","0,3351","0,4084","1027,363814","100,3432",89,,
46,BCPSA4,CLARO S/A,20/02/2027,"DI + 1,2%","0,65","0,35","0,511","0,0165","0,4945","0,5276","1022,303344","100,8931","328,04",5.0,
47,BCPSA6,CLARO S/A,10/10/2028,"DI + 0,55%",--,--,"0,6431","0,009","0,6341","0,6522","1063,134655","99,7758","611,05",,
48,BHIAA0,GRUPO CASAS BAHIA S.A. (*) (**),28/11/2029,"DI + 1,5%",--,--,--,--,--,--,"0,36768","30,579",N/D,,
49,BHIAC0,GRUPO CASAS BAHIA S.A. (*) (**),28/11/2030,DI + 1%,--,--,--,--,--,--,"0,365153","30,579",N/D,,
50,BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),24/04/2027,"DI + 1,9%","1,8767","1,5","1,6846","0,0148","1,6698","1,6995","1068,890954","100,2029","241,43",,
51,BRIT11,BRISANET PARTICIPACOES S.A.,25/08/2027,DI + 2%,"0,8837","0,65","0,7737","0,0237","0,75","0,7975","685,375492","101,5835","327,75",,
52,BRIT12,BRISANET PARTICIPACOES S.A. (*),10/07/2030,"DI + 1,6%","1,2729",1,"1,1374","0,014","1,1234","1,1516","1045,614657","101,3372","734,56",15.0,
53,BRKMA6,BRASKEM S/A (*),12/05/2029,"DI + 1,75%","14,4048","10,854","12,3449","0,7226","11,6223","13,0676","812,111675","76,6795","655,01",10.0,
54,BRKMA8,BRASKEM S/A (*),09/11/2029,"DI + 1,7%",15,12,"13,5004","0,2325","13,268","13,733","768,707875","72,5503","705,52",45.0,
55,BRKMB6,BRASKEM S/A (*),12/05/2032,DI + 2%,"14,1967",11,"12,2732","1,1703","11,1029","13,4436","756,606615","71,3741","831,22",,
56,BRKMB8,BRASKEM S/A (*),09/11/2032,"DI + 1,95%",15,11,"12,9034","0,2807","12,6227","13,1842","728,826984","68,7234","857,84",,
57,BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),15/04/2027,"DI + 2,4%","1,571","1,45","1,5028","0,0276","1,4753","1,5305","1084,889549","101,1836","337,17",5.0,
58,BRKPA1,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),06/03/2028,"DI + 3,4%","2,2563","2,0488","2,1521","0,016","2,136","2,1682","1031,983862","102,5652","526,31",10.0,
59,BRKPA2,BRK AMBIENTAL PARTICIPACOES S/A (*),21/02/2029,"DI + 3,25%","2,1536",2,"2,0605","0,0206","2,0399","2,0812","1046,520448","103,1724","680,79",40.0,
60,BRKPA3,BRK AMBIENTAL PARTICIPACOES S/A (*),23/08/2029,"DI + 2,93%","2,1373",2,"2,0523","0,012","2,0402","2,0644","1039,169512","102,6107","760,05",,
61,BRMLA1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2031,"DI + 0,63%","0,75","0,35","0,55",0,"0,55","0,55","1015,919522","100,3125","989,05",,
62,BRMLB1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2034,"DI + 0,95%","0,7662","0,647","0,6808","0,0105","0,6703","0,6915","1026,50958","101,3301","1249,64",45.0,
63,BRST14,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/05/2031,"DI + 1,4%","1,6","1,25","1,4281","0,0037","1,4244","1,4319","1045,466379","99,9075","841,24",,
64,BSA312,"B3 S/A - BRASIL, BOLSA, BALCÃO (*) (**)",05/11/2029,"DI + 0,58%",--,--,"0,6303","0,0318","0,5985","0,6621","10558,849252","99,8455","779,1",,
65,BSA317,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",11/10/2028,"DI + 1,05%","0,8509","0,7","0,7788","0,0032","0,7756","0,7821","1073,217315","100,5572","521,33",,
66,BSA318,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",28/05/2029,"DI + 0,62%","0,4507","0,3485","0,4028","0,0096","0,3932","0,4124","1052,543186","100,4728","550,38",5.0,
67,BSA319,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",08/01/2031,"DI + 0,59%",--,--,"0,6529","0,0305","0,6224","0,6835","1028,638439","99,779","891,73",,
68,BTGH18,BTG PACTUAL HOLDING S/A (*),10/12/2029,"DI + 1,5%","1,2",1,"1,0988","0,0002","1,0986","1,0991","1055,353428","101,0049","636,92",15.0,
69,BVPL11,BORRACHAS VIPAL S.A. (*),16/09/2028,"DI + 4,5%","3,41","3,0545","3,2785","0,0669","3,2115","3,3455","718,983794","101,6346","348,55",45.0,
70,CAEC22,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2029,"DI + 2,2%","1,3972","1,1","1,2694","0,0331","1,2363","1,3025","1067,198325","102,1949","599,35",,
71,CAEC32,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2031,"DI + 2,5%","1,598","1,3","1,46","0,0823","1,3777","1,5424","1082,807134","103,6076","879,79",,
72,CAML19,CAMIL ALIMENTOS S/A,30/09/2025,"DI + 2,7%","0,9815","0,5315","0,7722","0,0365","0,7357","0,8089","540,800836","100,0527",7,,
73,CAMLA1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%","1,3868","1,0017","1,2099","0,0181","1,1919","1,2281","1070,244503","100,7082","530,46",,
74,CAMLB1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%","1,3785","1,0072","1,2005","0,0011","1,1994","1,2017","1070,453776","100,7279","530,48",,
75,CASN13,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2028,"DI + 5,5%","2,1411","1,3","1,75","0,0002","1,7498","1,7503","1053,874063","105,1463","352,9",,
76,CASN14,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),15/04/2030,"DI + 2,3%","2,4241","1,34","1,9302","0,0256","1,9046","1,9559","1011,390246","100,8799","610,22",15.0,
77,CBAN22,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A (*) (**),15/07/2032,DI + 2%,"0,7996","0,6","0,7",0,"0,7","0,7","910,94339","104,7285","914,15",,
78,CBRDA8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*) (**),10/05/2026,"DI + 1,7%",14,"8,5","11,26","0,0285","11,2315","11,2886","502,153585","94,8438","148,29",,
79,CBRDB8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*),10/05/2028,"DI + 1,95%","16,8083","11,5","14,2114","0,4978","13,7135","14,7093","870,655669","82,1477","427,82",,
80,CCROA7,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A. (*),12/07/2029,"DI + 0,75%","0,4814","0,4","0,4401","0,0003","0,4398","0,4405","1036,208476","100,7134","581,91",10.0,
81,CDAR11,UNIDAS LOCADORA S.A. (*) (**),27/09/2027,DI + 2%,"1,6777","1,5055","1,6494","0,1264","1,523","1,7758","1083,602939","100,4434","323,97",50.0,
82,CEAB12,C E A MODAS S.A.,13/11/2025,"DI + 2,1%","0,7468","0,5902","0,6579","0,0624","0,5955","0,7204","1062,114673","100,2204",39,,
83,CEAB13,C E A MODAS S.A. (*),15/07/2027,"DI + 1,8%","1,1472","0,9","1,0266","0,0035","1,0231","1,0302","1042,908952","101,2234","402,01",,
84,CEAB22,C E A MODAS S.A.,13/05/2028,"DI + 2,4%","0,9049","0,715","0,8042","0,0109","0,7933","0,8152","813,141011","102,1937","349,54",,
85,CEEBA3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),15/10/2026,"DI + 1,34%",1,"0,3","0,6613","0,0292","0,632","0,6906","1074,276513","100,6458","241,45",,
86,CEEBA6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),15/08/2028,"DI + 1,95%","1,45","1,25","1,35","0,0002","1,3498","1,3503","1030,334672","101,429","606,27",,
87,CEEBA7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/11/2028,"DI + 1,18%","0,8","0,5","0,6674","0,0269","0,6405","0,6944","1068,513573","101,2772","630,32",,
88,CEEBA8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),10/06/2029,"DI + 0,95%","0,8","0,4","0,6048","0,0151","0,5897","0,62","1053,580471","100,9919","726,75",,
89,CEEBB3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/10/2028,"DI + 1,49%","1,0272","0,8","0,9134","0,0253","0,8881","0,9388","1080,712082","101,1839","521,17",,
90,CEEBB4,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/04/2029,"DI + 1,68%",--,--,"0,9262","0,0167","0,9095","0,9431","1088,068046","101,7903","602,04",,
91,CEEBB8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),10/06/2031,"DI + 1,1%",--,--,"0,8003","0,0085","0,7919","0,8089","1055,136964","101,0982","928,36",,
92,CEED11,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*) (**),15/08/2026,"DI + 1,45%",1,"0,5513","0,8123","0,0582","0,7541","0,8706","255,217718","100,5463","217,75",,
93,CEED14,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),11/12/2029,"DI + 1,65%","1,1253","0,9","1,0117","0,0247","0,987","1,0365","1061,442365","101,6065","638,63",,
94,CEED16,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),05/08/2030,"DI + 1,05%","0,8786","0,5829","0,7433","0,0184","0,7249","0,7617","1029,131955","100,9202","760,04",,
95,CEED18,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),25/03/2030,"DI + 0,8%","0,8682","0,4856","0,6917","0,0426","0,6492","0,7344","1071,037852","100,3507","821,13",,
96,CELP16,CENTRAIS ELETRICAS DO PARA S.A - CELPA (*) (**),15/05/2028,"DI + 1,4%","1,0045","0,6211","0,8326","0,0346","0,798","0,8673","0,494933","100,7869","352,86",,
97,CEMTE2,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.(*) (**),10/06/2029,"DI + 1,05%","0,5129","0,3957","0,4587","0,0111","0,4477","0,4699","1057,147056","101,3051","557,58",,
98,CEPEA1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/10/2026,"DI + 1,39%",1,"0,6358","0,8591","0,0774","0,7818","0,9366","1072,991847","100,504","241,34",,
99,CEPEA3,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/11/2028,"DI + 1,18%",1,"0,7","0,85","0,0002","0,8498","0,8502","1063,682841","100,8193","629,84",,
100,CEPEA4,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),18/03/2029,"DI + 1,18%","0,6511","0,4971","0,5709","0,0031","0,5678","0,5742","1017,938195","101,733","717,82",,
101,CEPEB1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),15/10/2028,"DI + 1,54%","1,0051","0,6051","0,8432","0,1526","0,6906","0,996","1083,592376","101,432","521,06",,
102,CEPEB2,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/04/2029,"DI + 1,68%","1,5","0,5016","1,043","0,0774","0,9656","1,1204","1085,066475","101,5095","601,7",,
103,CERO19,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,15/04/2029,"DI + 0,85%","0,9735","0,4901","0,7461","0,1545","0,5916","0,9007","1068,150904","100,2819","688,37",,
104,CEROA2,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,15/12/2029,"DI + 0,95%",--,--,"0,8984","0,0299","0,8685","0,9284","1042,513594","100,1632","803,78",5.0,
105,CEROB2,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,15/12/2031,"DI + 1,1%",--,--,--,--,--,--,N/D,N/D,N/D,,
106,CESE22,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*) (**),15/09/2028,"DI + 2,5%",--,--,"1,0723","0,2483","0,824","1,3206","770,421006","102,4564","437,22",,
107,CGASA3,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),15/05/2028,"DI + 0,45%",--,--,"0,49","0,009","0,481","0,4991","1050,222852","99,9132","549,75",,
108,CGBP14,ESSENTIA PCHS S.A (*),25/03/2032,DI + 1%,"0,85","0,65","0,7693","0,0338","0,7355","0,8031","1081,946762","100,7125","783,85",15.0,
109,CGOS14,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/10/2029,"DI + 1,65%","0,9788","0,4945","0,7296","0,0083","0,7213","0,7381","1,092092","102,1798","599,19",,
110,CGOS15,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),20/03/2030,"DI + 1,05%","0,6928","0,4001","0,5521","0,0109","0,5412","0,5631","1091,054812","101,3059","663,07",,
111,CGOS17,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),05/08/2030,DI + 1%,"0,75","0,5208","0,6478","0,0042","0,6436","0,6521","1030,482885","101,0592","760,88",,
112,CGOS18,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/09/2030,DI + 1%,"0,8178","0,5107","0,6509","0,03","0,6209","0,681","1013,306915","101,0916","790,94",5.0,
113,CHSF14,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*),15/09/2031,"DI + 0,85%","0,8","0,5941","0,6395","0,0419","0,5975","0,6815","1011,242322","100,888","1067,29",35.0,
114,CHSF24,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*),15/09/2034,"DI + 1,05%",--,--,"1,1217","0,023","1,0987","1,1448","998,828467","99,6464","1257,92",,
115,CHTH11,CHINA THREE GORGES BRASIL ENERGIA S.A. (*),15/12/2029,"DI + 0,43%","0,7696","0,4","0,5825","0,0748","0,5077","0,6574","1034,78078","99,5589","733,95",5.0,
116,CIEL16,CIELO S/A,20/09/2025,"DI + 1,2%","0,32","0,18","0,2503","0,001","0,2493","0,2513","1077,835867","100,0037",1,15.0,
117,CIEL17,CIELO S/A,17/12/2027,"DI + 0,54%",--,--,"0,4966","0,0377","0,459","0,5344","1039,946609","100,0828","482,83",,
118,CIEL18,CIELO S/A (*),08/05/2029,"DI + 0,54%","0,4946","0,4501","0,4741","0,0084","0,4657","0,4825","1054,593907","100,1846","708,94",,
119,CLCD14,CELESC DISTRIBUIÇÃO S/A (*) (**),15/04/2026,"DI + 2,6%","1,3575","0,7741","1,1024","0,3955","0,7069","1,498","163,966815","100,46","78,7",,
120,CLCD16,CELESC DISTRIBUIÇÃO S/A (*),15/11/2028,"DI + 1,65%",--,--,"1,2886","0,2832","1,0053","1,5719","1063,504862","100,6357","448,7",,
121,CLCD17,CELESC DISTRIBUIÇÃO S/A (*),15/07/2031,"DI + 0,95%",--,--,"0,8576","0,0093","0,8483","0,867","1032,114606","100,3359","923,11",,
122,CLII12,CORREDOR LOGISTICA E INFRAESTRUTURA S.A (*),10/10/2031,"DI + 3,5%",2,"1,6172","1,8267","0,0395","1,7871","1,8663","1105,669629","104,5333","692,85",,
123,CLIS11,CLI SUL S/A (*),10/10/2031,"DI + 3,2%",--,--,"1,8676","0,0968","1,7708","1,9646","1174,746112","103,4559","664,91",,
124,CMGD18,CEMIG DISTRIBUIÇÃO S/A (*) (**),15/06/2027,"DI + 1,35%","0,9957","0,445","0,7154","0,0308","0,6846","0,7463","1051,87649","100,955","381,47",,
125,CMGD19,CEMIG DISTRIBUIÇÃO S/A (*) (**),15/05/2026,"DI + 2,05%","1,5393","1,25","1,3555","0,0714","1,284","1,427","531,325133","100,4139","152,44",15.0,
126,CMGDA0,CEMIG DISTRIBUIÇÃO S/A (*),15/02/2029,"DI + 0,8%","0,65","0,35","0,5","0,0002","0,4999","0,5003","1022,032171","100,725","611,02",10.0,
127,CMGDA1,CEMIG DISTRIBUIÇÃO S/A (*),15/09/2031,"DI + 0,55%","0,7889","0,4127","0,6002","0,0005","0,5998","0,6008","1000,293047","99,8003","1008,88",,
128,CMGDA2,CEMIG DISTRIBUIÇÃO S/A (*),15/03/2032,"DI + 0,86%","0,8075","0,5977","0,72","0,0002","0,7198","0,7204","1008,235753","100,5879","1064,11",,
129,CMGDA3,CEMIG DISTRIBUIÇÃO S/A (*),15/04/2030,"DI + 0,64%","0,7","0,305","0,5302","0,0403","0,4898","0,5706","1068,881382","100,3305","761,91",10.0,
130,CMGDB3,CEMIG DISTRIBUIÇÃO S/A (*),15/04/2032,"DI + 0,8%",--,--,"0,8279","0,0753","0,7526","0,9034","1064,924698","99,8892","1009,74",,
131,CMGTA0,CEMIG GERAÇÃO E TRANSMISSÃO S/A (*),15/03/2030,"DI + 0,64%","0,6922","0,5335","0,61","0,0002","0,6098","0,6104","1003,252852","100,0942","796,02",,
132,CMPH14,CM HOSPITALAR S.A.,05/11/2028,"DI + 1,7%",82,25,"53,5",0,"53,5","53,5","669,082315","62,9972","232,8",,
133,CMTR19,CEMIG GERAÇÃO E TRANSMISSÃO S/A (*),15/12/2027,"DI + 1,33%","0,85","0,4966","0,6739","0,008","0,6659","0,682","1049,245513","100,7078","274,12",,
134,COCE19,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*),10/01/2026,"DI + 1,48%","1,25","0,9757","1,1153","0,0208","1,0945","1,1362","1032,720647","100,1115",78,,
135,COCEA2,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*),15/05/2029,"DI + 1,1%","1,15","0,92","1,0407","0,0086","1,0321","1,0493","1051,541127","100,165","708,37",,
136,COGNA2,COGNA EDUCACAO S.A (*),15/05/2027,"DI + 1,35%","1,15","0,75","0,9543","0,0098","0,9444","0,9642","1061,599582","100,5615","360,81",,
137,COGNA3,COGNA EDUCACAO S.A (*),15/07/2027,"DI + 1,35%","1,1","0,8","0,95","0,0002","0,9498","0,9503","1035,967535","100,6346","403,22",,
138,COGNA4,COGNA EDUCACAO S.A (*),19/11/2029,"DI + 1,6%","1,25","0,8515","1,0628","0,0347","1,0281","1,0976","1071,009228","101,4865","702,47",,
139,COGNB2,COGNA EDUCACAO S.A (*),15/05/2029,"DI + 1,6%","1,25","0,85","1,05","0,0002","1,0498","1,0503","1070,824263","101,3461","621,58",,
140,COLNA3,RODOVIAS DAS COLINAS S/A (*),15/01/2032,"DI + 0,8%","0,85","0,7","0,7769","0,0037","0,7733","0,7807","1024,434402","100,083","912,2",10.0,
141,COMR16,COMERC PARTICIPACOES S.A. (*),15/04/2027,"DI + 2,2%","1,8512","1,7","1,776","0,004","1,772","1,7801","1077,272619","100,5582","337,53",,
