,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
0,AALM12,AURA ALMAS MINERACAO S.A. (*),02/10/2030,"DI + 1,6%","1,125","0,8227","0,9702","0,0248","0,9454","0,9951","1091,931869","101,647","663,63",,
1,AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%","9,4056","5,4342","7,897","1,1808","6,7162","9,0778","834,451267","95,222","249,4",,
2,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),15/10/2026,"DI + 1,95%","1,64","1,24","1,44",0,"1,44","1,44","1075,289762","100,4795","240,43",,
3,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%","3,1001","2,95","3,0014","0,0043","2,9971","3,0058","1039,471559","103,5096","1006,56",,
4,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),15/06/2035,"DI + 3,4%","3,45","3,2204","3,3338",0,"3,3339","3,3339","1050,505107","100,28","1100,9",45.0,
5,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%","1,5","1,1","1,3031",0,"1,3032","1,3032","720,035945","100,7727","233,27",5.0,
6,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%","1,4133","1,2037","1,3128","0,0137","1,2991","1,3266","1084,786264","100,9636","418,78",10.0,
7,AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,"2,3","1,9","2,0799",0,"2,08","2,08","1007,006783","100,4318",121,10.0,
8,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%","2,1404","1,527","1,8684","0,0662","1,8022","1,9347","1098,090309","102,6989","431,87",,
9,AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%","2,1","1,5811","1,8787","0,1157","1,763","1,9946","1010,704325","100,8044","237,11",5.0,
10,AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%","1,95","1,55","1,7493","0,0025","1,7467","1,7519","1067,89999","102,5159","641,29",,
11,AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%","1,979","1,6811","1,8381","0,04","1,7981","1,8782","1025,924017","102,3192","532,87",,
12,AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"133,208521","16,8179",N/D,,
13,AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"197,523886","16,8236",N/D,,
14,AESLA8,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),10/09/2029,"DI + 0,49%",--,--,"0,5065","0,097","0,4095","0,6036","1003,540577","99,9541","705,33",,
15,AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%","7,1362","3,5423","5,2893","0,7117","4,5776","6,0011","996,060477","99,3173","229,2",,
16,ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%","0,85","0,5658","0,7138","0,0254","0,6885","0,7393","5077,711624","100,0755",103,,
17,ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%","1,2","0,9588","1,0803","0,014","1,0663","1,0943","1040,929245","101,0786","583,65",,
18,ALGTA5,ALGAR TELECOM S/A (*),28/01/2032,"DI + 1,3%","1,35","1,1026","1,2265","0,0035","1,223","1,2301","1026,775806","100,2934","1017,47",,
19,ALPA22,ALPARGATAS S.A. (*) (**),12/12/2029,"DI + 1,5%","1,0976","0,7513","0,898","0,1264","0,7716","1,0245","1061,479771","101,7136","720,96",,
20,ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),15/01/2027,"DI + 2,3%",--,--,--,--,--,--,N/D,N/D,N/D,,
21,AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),25/04/2029,"DI + 2,75%","28,5785","10,0833","19,2485","0,4373","18,8111","19,6859","800,723717","74,8541","469,15",5.0,
22,ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),14/06/2028,"DI + 2,14%",--,--,"1,5875","0,0156","1,5719","1,6032","1055,122404","101,0546","487,81",,
23,ANHBA5,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),05/11/2030,"DI + 0,44%","0,6","0,45","0,5115","0,017","0,4945","0,5286","1054,413245","99,7604","849,32",15.0,
24,ANHBA6,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),15/07/2032,"DI + 0,5%","0,745","0,55","0,5903","0,0302","0,5601","0,6206","1018,557299","99,6128","1088,09",50.0,
25,APPSB2,AUTOPISTA PLANALTO SUL S/A (*),15/09/2028,"DI + 2,15%","1,45","1,15","1,3",0,"1,3","1,3","761,581807","101,2864","386,22",,
26,APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),15/06/2027,"DI + 0,86%","0,7","0,45","0,5745","0,004","0,5705","0,5786","528,824566","100,2929","260,16",,
27,ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),04/11/2029,"DI + 2,25%","1,9","1,5766","1,7734","0,0682","1,7052","1,8416","1077,889982","101,2757","684,71",,
28,ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),15/03/2032,"DI + 1,9%","2,0117","1,742","1,9019","0,0699","1,832","1,9719","1002,434106","99,9928","976,15",,
29,ARML15,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/09/2032,"DI + 1,35%",--,--,"1,9013","0,1341","1,7672","2,0354","1054,359843","97,9224","971,75",,
30,ARML25,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/09/2034,"DI + 1,6%","2,2277","1,8717","2,056","0,0445","2,0114","2,1006","1056,24708","97,9788",1144,,
31,ARTRA1,ARTERIS S/A (*) (**),11/03/2027,"DI + 1,65%","1,2729","1,05","1,1584","0,0131","1,1453","1,1716","672,09675","100,4425","229,64",5.0,
32,ARTRA4,ARTERIS S/A (*),24/08/2028,"DI + 2,7%","1,7064","1,45","1,5786","0,0146","1,564","1,5933","1031,24766","101,8457","420,74",,
33,ARTRA5,ARTERIS S/A (*),12/04/2029,"DI + 2,4%","1,7512","1,5","1,6271","0,0061","1,621","1,6333","1089,330606","101,5349","507,71",5.0,
