,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
0,AALM12,AURA ALMAS MINERACAO S.A. (*),02/10/2030,"DI + 1,6%","1,1","0,8","0,95","0,0002","0,9498","0,9503","1093,794612","101,6954","661,73",,
1,AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%","9,4527","6,5638","8,105","1,2235","6,8816","9,3286","834,297661","95,0791","247,16",,
2,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),15/10/2026,"DI + 1,95%","1,64","1,24","1,4388","0,0032","1,4356","1,4421","1076,609804","100,4766","238,42",,
3,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%","3,1081","2,9113","2,9991","0,0071","2,9921","3,0063","1040,944478","103,5107","1004,29",35.0,
4,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),15/06/2035,"DI + 3,4%","3,4463","3,2056","3,3118","0,0339","3,2779","3,3458","1052,913185","100,3725","1098,86",50.0,
5,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%","1,5","1,1","1,3",0,"1,3","1,3","720,924346","100,7689","231,27",,
6,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%","1,4192","1,0967","1,2785","0,0276","1,2509","1,3061","1086,704007","101,0156","416,87",10.0,
7,AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,"2,3","1,9","2,1085","0,0363","2,0722","2,145","1008,148784","100,4113",119,,
8,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%","2,0837","1,5179","1,8455","0,0745","1,7709","1,9201","1099,885341","102,7256","429,93",,
9,AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%","2,1","1,6155","1,8709","0,1512","1,7196","2,0222","1012,040806","100,8048","235,11",,
10,AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%","1,9392","1,55","1,7538","0,0157","1,7381","1,7695","1069,105448","102,4965","639,29",,
11,AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%","1,9547","1,7","1,8296","0,0389","1,7907","1,8686","1027,385214","102,3285","530,89",,
12,AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"122,428961","15,4375",N/D,,
13,AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"188,772963","16,058",N/D,,
14,AESLA8,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),10/09/2029,"DI + 0,49%","0,5863","0,3475","0,4717","0,0817","0,39","0,5536","1005,659308","100,0508","703,44",,
15,AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%","6,937","3,992","5,2591","0,7243","4,5348","5,9835","997,825163","99,3489","227,22",,
16,ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%","0,8638","0,5559","0,7054","0,0171","0,6884","0,7226","5083,768871","100,0774",101,,
17,ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%","1,1957","0,9712","1,0765","0,0055","1,071","1,0822","1042,257196","101,0837","581,69",,
18,ALGTA5,ALGAR TELECOM S/A (*),28/01/2032,"DI + 1,3%","1,35","1,1029","1,2212","0,0222","1,1991","1,2435","1028,223842","100,3139","1015,27",,
19,ALPA22,ALPARGATAS S.A. (*) (**),12/12/2029,"DI + 1,5%","1,0951","0,7372","0,8917","0,1251","0,7666","1,0169","1062,915042","101,7269","718,98",,
20,ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),15/01/2027,"DI + 2,3%",--,--,--,--,--,--,N/D,N/D,N/D,,
21,AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),25/04/2029,"DI + 2,75%","25,71","12,5076","16,4583","1,879","14,5793","18,3374","839,002539","78,3292","473,83",10.0,
22,ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),14/06/2028,"DI + 2,14%",--,--,"1,598","0,0037","1,5944","1,6018","1056,207772","101,0301","485,8",,
23,ANHBA5,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),05/11/2030,"DI + 0,44%","0,6","0,45","0,525","0,0112","0,5137","0,5363","1055,142561","99,7159","847,17",,
24,ANHBA6,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),15/07/2032,"DI + 0,5%","0,7289","0,5033","0,5846","0,0264","0,5582","0,6112","1019,978301","99,6379","1085,89",50.0,
25,APPSB2,AUTOPISTA PLANALTO SUL S/A (*),15/09/2028,"DI + 2,15%","1,45","1,15","1,2953",0,"1,2953","1,2953","762,554012","101,2869","384,24",10.0,
26,APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),15/06/2027,"DI + 0,86%","0,7","0,43","0,5739","0,004","0,5699","0,578","529,435074","100,2913","258,15",,
27,ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),04/11/2029,"DI + 2,25%","1,9","1,5629","1,7561","0,0509","1,7052","1,8071","1079,72677","101,3186","682,79",,
28,ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),15/03/2032,"DI + 1,9%","1,9562","1,7017","1,8356","0,0579","1,7777","1,8936","1006,218521","100,2447","974,57",10.0,
29,ARML15,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/09/2032,"DI + 1,35%","1,9335","1,6041","1,8232","0,1359","1,6873","1,9591","1058,805178","98,2164","970,57",35.0,
30,ARML25,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/09/2034,"DI + 1,6%","2,2","1,8748","2,034","0,0232","2,0108","2,0572","1058,624522","98,0788","1142,06",35.0,
31,ARTRA1,ARTERIS S/A (*) (**),11/03/2027,"DI + 1,65%","1,2945","1,05","1,1582","0,0285","1,1298","1,1868","672,900671","100,4388","227,63",,
