,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
895,JALL13,JALLES MACHADO S.A.,15/09/2032,"IPCA + 6,4876%","7,8955","7,4546","7,6689","0,0895","7,5794","7,7586","1090,859963","95,0091","1165,27",,15/08/2030
896,JALL14,JALLES MACHADO S.A. (*),15/10/2030,"IPCA + 7,1163%",--,--,"7,7034","0,0501","7,6533","7,7536","1099,308906","97,7311","1056,48",,15/08/2030
897,JALL15,JALLES MACHADO S.A. (*),15/05/2034,"IPCA + 6,6074%","7,8015","7,5888","7,6756","0,0372","7,6384","7,7128","1021,846544","94,2511","1488,33",,15/05/2033
898,JALL21,JALLES MACHADO S.A.,15/12/2031,"IPCA + 5,8041%","7,9131","7,5571","7,708","0,0537","7,6543","7,7618","1125,495718","92,3383","1120,64",,15/08/2030
899,JALL24,JALLES MACHADO S.A. (*),17/10/2033,"IPCA + 7,234%","7,783","7,6083","7,6641","0,0753","7,5888","7,7395","1101,02197","97,8374","1373,53",,15/08/2032
900,JSMLB5,SIMPAR S.A. (*),15/09/2031,"IPCA + 7,9677%",--,"12,8661","13,1418","0,165","12,9768","13,3069","1039,069376","82,4425","1025,24",,15/08/2030
901,JTEE11,JANAUBA TRANSMISSORA DE ENERGIA ELETRICA  S/A (*) (**),15/07/2033,"IPCA + 4,5%","7,232","6,9386","7,0446","0,0783","6,9663","7,123","957,164278","91,2991","938,38",,15/05/2029
902,JTEE12,JANAUBA TRANSMISSORA DE ENERGIA ELETRICA  S/A (*),15/12/2044,"IPCA + 4,8295%",--,--,"6,8553","0,0421","6,8132","6,8975","1367,321196","86,4414","1846,51",,15/05/2035
903,KLBNA5,KLABIN S/A (*),15/08/2039,"IPCA + 6,05%","7,0874","6,6262","6,8712","0,1143","6,7569","6,9856","986,929999","93,2892","2249,99",,15/08/2040
904,LCAMD1,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,15/09/2031,"IPCA + 6,5119%","9,2635","8,8739","9,0668","0,0503","9,0166","9,1172","1124,283269","90,3573","1071,55",,15/08/2030
905,LCAMD3,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS (*),15/04/2029,"IPCA + 7,2101%","9,2072","8,7598","9,0004","0,0768","8,9236","9,0773","1129,117726","95,0094","777,03",,15/05/2029
906,LGEN11,LAGOA 1 ENERGIA RENOVAVEL S.A.,15/03/2029,"IPCA + 7,3287%","8,3611","8,1022","8,2288","0,1081","8,1207","8,337","897,643167","98,6538","408,1",,15/05/2027
907,LIGH1B,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2032,IPCA + 5%,--,--,--,--,--,--,"70,640459","64,42",N/D,,
908,LIGH2B,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2037,IPCA + 3%,--,--,--,--,--,--,"38,640329","35,25",N/D,,
909,LIGHA5,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2032,IPCA + 5%,--,--,--,--,--,--,N/D,N/D,N/D,,
910,LIGHB4,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2032,IPCA + 5%,--,--,--,--,--,--,"70,437793","64,2352",N/D,,
911,LIGHB6,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2032,IPCA + 5%,--,--,--,--,--,--,"70,640459","64,42",N/D,,
912,LIGHB7,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2032,IPCA + 5%,--,--,--,--,--,--,"70,573541","64,359",N/D,,
913,LIGHC3,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2032,IPCA + 5%,--,--,--,--,--,--,"70,323728","64,1312",N/D,,
914,LIGHC4,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2037,IPCA + 3%,--,--,--,--,--,--,"38,640329","35,25",N/D,,
915,LIGHC6,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2037,IPCA + 3%,--,--,--,--,--,--,"38,640329","35,25",N/D,,
916,LIGHC7,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2037,IPCA + 3%,--,--,--,--,--,--,"40,971218","37,3764",N/D,,
917,LIGHD2,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2032,IPCA + 5%,--,--,--,--,--,--,N/D,N/D,N/D,,
918,LIGHD3,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2037,IPCA + 3%,--,--,--,--,--,--,"40,971218","37,3764",N/D,,
919,LIGHE2,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**),13/11/2037,IPCA + 3%,--,--,--,--,--,--,"40,951487","37,3584",N/D,,
920,LORTA7,LOCALIZA RENT A CAR,15/03/2031,"IPCA + 5,4702%","9,3365","8,9252","9,1118","0,1093","9,0025","9,2211","1117,197901","86,2183","1093,55",,15/08/2030
921,LTTE15,LINHAS DE TAUBATE TRANS.DE ENERGIA S/A (*) (**),15/10/2038,"IPCA + 5,09%","7,6863","7,4072","7,5607","0,1367","7,4241","7,6975","1133,230893","88,4486","1287,61",,15/08/2032
922,MEZ511,MEZ 5 ENERGIA S.A.,15/01/2046,"IPCA + 7,0657%","9,5422","8,7722","9,1595","0,0503","9,1092","9,2099","1161,076666","86,6999",1788,,15/05/2035
923,MGSP12,EDP TRANSMISSAO SP-MG S.A.,15/07/2039,"IPCA + 4,45%","7,6554","7,3581","7,5083","0,0898","7,4185","7,5982","1158,705691","84,1889","1447,73",,15/08/2032
924,MOVI18,MOVIDA PARTICIPACOES S/A (*),15/06/2029,"IPCA + 8,0525%",--,--,"12,8591","0,1695","12,6896","13,0287","1011,667529","87,0091","799,95",,15/05/2029
925,MOVI37,MOVIDA PARTICIPACOES S/A (*),15/09/2031,"IPCA + 7,6366%",--,--,"13,4","0,5551","12,845","13,9552","1004,032811","80,55","1029,4",,15/08/2030
926,MRSAA1,MRS LOGÍSTICA S/A (*),15/09/2033,"IPCA + 6,2414%","7,1811","6,892","7,0058","0,0699","6,936","7,0758","1045,772984","95,5298","1602,12",,15/05/2033
927,MRSAA2,MRS LOGÍSTICA S/A (*),15/09/2034,"IPCA + 6,5251%","7,0936","6,7842","6,9265","0,0621","6,8644","6,9886","1023,133977","97,4311","1739,86",35.0,15/05/2035
928,MRSAA3,MRS LOGÍSTICA S/A (*),15/07/2032,"IPCA + 7,2638%","7,2212","6,9366","7,0855","0,102","6,9835","7,1876","1024,726176","100,9064","1367,72",,15/08/2032
929,MRSAB1,MRS LOGÍSTICA S/A (*),15/09/2035,"IPCA + 6,3439%","7,1286","6,8215","6,928","0,0666","6,8614","6,9947","1053,865055","96,2679","1744,02",,15/05/2035
